timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
13-02-2026,146.07,148.04,145.11,146.37,145.4988429,18138482,0,1
14-02-2026,147.37,147.83,145.555,147.14,146.2642601,16651824,0,1
15-02-2026,144.46,144.76,141.88,143.94,143.0833057,26724305,0,1
16-02-2026,144.21,144.48,141.52,141.76,140.9162805,21865118,0,1
20-02-2026,140.94,143.3285,140.8,142.2,141.3536617,18625589,0,1
21-02-2026,142.64,143.98,141.91,143.84,142.9839008,16499584,0,1
22-02-2026,146.12,146.2,144.01,145.32,144.4550923,23024707,0,1
23-02-2026,144.97,145.955,144.79,145.29,144.4252708,14519434,0,1
26-02-2026,143.45,143.84,138.74,138.75,137.9241952,33513011,0,1
27-02-2026,139.41,140.49,138.5,140.1,139.2661604,22363981,0,1
28-02-2026,139.1,139.28,136.64,137.43,136.6120515,30628702,0,1
01-03-2026,139.61,140,137.975,138.08,137.2581829,28551525,0,1
04-03-2026,136.54,136.63,132.86,134.2,133.4012757,43571510,0,1
05-03-2026,132.74,134.02,131.55,133.78,132.9837754,28447550,0,1
06-03-2026,134.24,134.74,131.95,132.56,131.7710365,23175200,0,1
07-03-2026,133.89,135.82,132.66,135.24,134.4350859,24107282,0,1
08-03-2026,135.035,138.985,134.8,136.29,135.4788365,26495160,0,1
11-03-2026,137.07,139.98,137.07,138.94,138.1130644,22462576,0,1
12-03-2026,138.25,140.28,138.21,139.62,138.7890172,18951920,0,1
13-03-2026,140.06,142.19,140.01,140.77,139.9321727,19589151,0,1
14-03-2026,142.3,144.73,141.485,144.34,143.480925,35991108,0,1
15-03-2026,143.41,144.34,141.1301,142.17,141.3238403,41039494,0,1
18-03-2026,149.37,152.93,148.14,148.48,147.5962847,47676689,0,1
19-03-2026,148.98,149.62,147.01,147.92,147.0396177,17748367,0,1
20-03-2026,148.79,149.76,147.665,149.68,148.7891426,17729996,0,1
21-03-2026,150.32,151.305,148.0101,148.74,147.8547373,19843915,0,1
22-03-2026,150.24,152.56,150.09,151.77,150.8667035,19252925,0,1
25-03-2026,150.95,151.456,148.8,151.15,150.2503936,15114728,0,1
26-03-2026,151.24,153.2,151.03,151.7,150.7971201,19312694,0,1
27-03-2026,152.145,152.69,150.13,151.94,151.0356917,16621964,0,1
28-03-2026,152,152.67,151.33,152.26,151.3537871,21105628,0,1
01-04-2026,151.83,157,151.65,156.5,155.5685517,24416137,0,1
02-04-2026,154.75,155.99,153.46,155.87,154.9423013,17549140,0,1
03-04-2026,154.92,156.55,154.1321,156.37,155.4393255,16984168,0,1
04-04-2026,155.08,156.18,151.88,151.94,151.0356917,23901697,0,1
05-04-2026,151.68,154.84,151.081,153.94,153.0237882,16212049,0,1
08-04-2026,154.015,156.655,153.99,156.14,155.2106944,16280924,0,1
09-04-2026,157.35,159.89,156.64,158.14,157.1987909,21435146,0,1
10-04-2026,157.88,158.16,156.2,157.66,156.7216477,16339174,0,1
11-04-2026,158.34,161.1199,157.93,160.79,159.8330188,17841703,0,1
12-04-2026,159.405,161.7,158.6,159.19,158.2425415,16989765,0,1
15-04-2026,160.28,160.83,156.15,156.33,155.3995635,21140948,0,1
16-04-2026,155.64,157.23,155.05,156,155.0715276,15413201,0,1
17-04-2026,157.19,158.681,156.135,156.88,155.9462901,16237752,0,1
18-04-2026,156.925,158.485,156.21,157.46,156.5228381,14016065,0,1
19-04-2026,157.75,157.99,153.91,155.72,154.7931941,21479881,0,1
22-04-2026,156.01,159.185,155.66,157.95,157.0099217,17243870,0,1
23-04-2026,158.59,160.48,157.965,159.92,158.9681968,16115408,0,1
24-04-2026,159.09,161.39,158.82,161.1,160.1411737,19485694,0,1
25-04-2026,153.36,158.28,152.768,157.95,157.0099217,36197789,0,1
26-04-2026,175.99,176.42,171.4,173.69,172.6562412,56500787,0,1
29-04-2026,170.77,171.38,167.06,167.9,166.9007018,35914561,0,1
30-04-2026,167.38,169.87,164.5,164.64,163.6601045,29420755,0,1
01-05-2026,166.18,168.81,164.9,165.57,164.5845694,25223245,0,1
02-05-2026,166.67,168.53,165.69,168.46,167.4573689,17041119,0,1
03-05-2026,169.54,169.85,164.98,168.99,167.9842144,22767056,0,1
06-05-2026,169.22,169.9,167.89,169.83,168.819215,15147906,0,1
07-05-2026,170.12,173.47,170,172.98,171.950467,21102434,0,1
08-05-2026,170.75,171.9092,170.522,171.16,170.1412991,14569858,0,1
09-05-2026,171.15,172.44,169.93,171.58,170.5587994,11937704,0,1
10-05-2026,169.69,171.34,167.91,170.29,169.2764772,18740458,0,1
13-05-2026,165.847,170.95,165.76,170.9,169.8828466,19648585,0,1
14-05-2026,171.59,172.78,170.42,171.93,170.9067163,18729463,0,1
15-05-2026,172.3,174.0459,172.03,173.88,172.8451104,20958245,0,1
16-05-2026,174.6,176.34,174.05,175.43,174.3858852,17247311,0,1
17-05-2026,175.55,177.495,174.98,177.29,176.2348149,16546353,0,1
20-05-2026,177.31,179.95,177.225,178.46,177.3978514,17495122,0,1
21-05-2026,178.4,179.82,177.31,179.54,178.4714235,14706021,0,1
22-05-2026,178.4,178.852,176.7801,178,176.9405892,16189404,0,1
23-05-2026,178.78,179.91,174.54,175.06,174.0180873,14928363,0,1
24-05-2026,176.52,177.3044,175.2,176.33,175.2805286,11403560,0,1
28-05-2026,175.74,178.51,175.68,178.02,176.9604702,15655340,0,1
29-05-2026,176.81,178.23,176.26,177.4,176.3441602,15023847,0,1
30-05-2026,176.69,176.69,173.23,173.56,172.527015,18844036,0,1
